type,date,open,high,low,close,volume
AAPL,2018-01-01,365.1573399646129,367.0317555834887,309.1747680154924,314.4029127793745,1394938
AAPL,2018-01-02,335.5498364964041,353.3260969606359,318.3896844509957,352.7787368927248,2505517
AAPL,2018-01-03,319.2891702403607,339.50002282897145,303.7187394896304,321.76515563521116,1144260
AAPL,2018-01-04,330.328645031953,341.59411405790587,313.1125184754528,352.49763284931197,2799404
AAPL,2018-01-05,347.38934165206757,354.5762353439181,332.72772822283827,359.38372866773994,2566162
AAPL,2018-01-08,310.7748795431505,361.260483772672,348.6648918412331,362.8049725223356,1994928
AAPL,2018-01-09,336.05653959862667,345.29949872361277,336.307515501634,347.3515085625182,1110965
AAPL,2018-01-10,365.07162691177734,369.2330617213445,345.5106784024655,366.3956040439716,2185133
AAPL,2018-01-11,335.21712251103764,371.54228924306193,342.7565959785941,366.556679837787,2654776
AAPL,2018-01-12,350.7346091215897,364.0860328098086,349.0564836595861,375.0442196840924,1300082
AAPL,2018-01-15,340.8943454141611,358.63992220445965,335.4262335820668,318.7655771413857,2630440
AAPL,2018-01-16,324.15979062831724,343.8326449732343,334.3126702649385,334.39725111135124,2314141
AAPL,2018-01-17,380.5351834823698,375.8080557708412,330.433056176157,322.88706582500544,2276996
AAPL,2018-01-18,341.04555918852174,355.9107744324435,326.2140272323864,340.6698323185016,1830733
AAPL,2018-01-19,343.6840253996347,370.1349588444003,330.31841524642294,368.4614222845987,2165382
AAPL,2018-01-22,357.4286866275142,368.2146640184634,355.0427733301911,369.9583857267439,1440549
AAPL,2018-01-23,344.6262497669139,359.89641048595155,352.7973563185278,364.1475529517157,2242707
AAPL,2018-01-24,337.01076654663353,363.7601900353422,320.59323300067734,357.3850206138813,1372629
AAPL,2018-01-25,342.4779504368324,354.0567809873968,315.49468187441914,329.85920707388925,2658007
AAPL,2018-01-26,348.63195940187325,361.42566785537076,341.4173415222433,351.88963531683066,2745570
AAPL,2018-01-29,346.07085136415765,367.80974540995646,326.4859765708474,353.7647438195385,1576099
AAPL,2018-01-30,351.06814853788023,375.78490141821396,333.59145652286037,361.00938596550685,2760686
AAPL,2018-01-31,356.9732526416941,361.5357146138706,344.5441527519585,324.1799628150413,2307905
AAPL,2018-02-01,372.7062162843545,361.40987082036435,335.1513138740279,349.90754181383176,2590659
AAPL,2018-02-02,327.4208863717075,358.2489469148361,317.12591288729885,338.65746075816276,2859110
AAPL,2018-02-05,345.1748411252118,370.88532494931513,327.49106309806064,356.6438645338726,1481931
AAPL,2018-02-06,355.5694850872684,399.3397316926393,352.36449476913833,384.0183149784643,2693747
AAPL,2018-02-07,347.52757176746263,352.364486226665,345.0414890587646,344.79620132534507,2897451
AAPL,2018-02-08,343.5232571405329,357.8282373302425,314.70937188536647,332.70272888809757,1359427
AAPL,2018-02-09,352.8857457044371,360.53073768758605,330.4698229775946,347.67161907940505,2246070
